"question","description"
"Explain the concept of gene editing.","Definition and overview of a specific biotechnology."
"What are the essential tools and techniques for oil painting?","Detailed craft of a specific artistic medium."
"What is the largest desert in the world?","Earth's biggest arid region in geography."
"Describe the process of erosion and weathering.","Detailed geology of the breakdown of Earth's surface."
"How to write a compelling cover letter?","Instructions on creating a strong application document."
"What are the major mountain ranges in South America and their characteristics?","Detailed geography of continental landforms."
"Explain the principles of quantum entanglement.","Overview of a very specific area of physics."
"What are the different types of black holes?","Detailed astrophysics of these celestial objects."
"Who painted the \"Starry Night\"?","Specific painting and its creator in art history."
"What is the function of the hypothalamus?","Role of a specific part of the brain in biology."
"How to make a simple vinaigrette dressing?","Detailed culinary of a basic sauce preparation."
"What is the Ring of Fire?","Major geological feature in geography."
"Describe the structure of a bacterial cell.","Detailed biology of the components of a simple organism's basic unit."
"How to manage stress effectively?","Techniques for coping with pressure."
"What are the major rivers in Australia and their importance?","Detailed geography of continental waterways and their significance."
"Explain the concept of game theory in economics.","Strategic decision-making."
"What are the different types of volcanoes and their eruptions?","Detailed geology of volcanic formations and activity."
"Describe the themes in the novel \"One Hundred Years of Solitude\".","Central ideas in a specific book in literature."
"How does a solar panel work?","Simplified explanation of photovoltaic technology."
"What are the ethical considerations of genetic testing?","Moral aspects of analyzing genetic information."
"Who developed the theory of general relativity?","Major scientific breakthrough in history of physics."
"What is the difference between a food allergy and a food intolerance?","Detailed biology/medicine of dietary reactions."
"Explain the concept of CRISPR technology.","Definition and overview of a specific gene-editing tool."
"What are the essential tools and techniques for knitting?","Detailed craft of a specific textile art."
"What is the driest place on Earth?","Area with the least precipitation in geography."
"Describe the process of fossilization.","Detailed paleontology of the formation of fossils."
"How to write a research paper?","Instructions on conducting and documenting academic research."
"What are the major island chains in the Pacific Ocean?","Detailed geography of significant oceanic island groups."
"Explain the principles of string theory.","Overview of a theoretical framework in physics."
"What are the different types of asteroids and comets?","Detailed astronomy of small solar system bodies."
"Who composed the symphony \"Ode to Joy\"?","Specific symphony and its composer in music history."
"What is the function of the medulla oblongata?","Role of a specific part of the brainstem in biology."
"How to make a classic French omelette?","Detailed culinary of a specific egg dish preparation."
"What is the Mariana Trench?","Deepest part of the ocean in geography."
"Describe the structure of a virus.","Detailed biology of the components of a non-cellular infectious agent."
"How to improve your listening skills?","Techniques for better comprehension."
"What are the major ecosystems of the world and their characteristics?","Detailed ecology of different biological communities and their environments."
"Explain the concept of behavioral economics.","How psychology influences economic decisions."
"What are the different types of faults in geology?","Detailed geology of fractures in the Earth's crust."
"Describe the themes in the poem \"The Love Song of J. Alfred Prufrock\".","Central ideas in a specific poem in literature."
"How does a nuclear power plant work?","Simplified explanation of nuclear energy generation."
"What are the philosophical implications of free will?","Fundamental concept in philosophy."
"Who developed the theory of quantum mechanics?","Revolutionary scientific framework in history of physics."
"What is the difference between weather and climate?","Detailed meteorology/climatology of atmospheric conditions."
"Explain the concept of gene therapy.","Definition and overview of a specific medical application of genetics."
"What are the essential tools and techniques for calligraphy?","Detailed craft of the art of decorative handwriting."
"What is the largest rainforest in the world?","Major biome in geography/ecology."
"Describe the process of human digestion.","Detailed biology of how the body processes food."
"How to create a website using basic HTML?","Instructions on fundamental web development."
"What are the major historical periods in ancient Egypt?","Timeline of a significant civilization in history."
"Explain the concept of cognitive dissonance in psychology.","Mental discomfort from conflicting beliefs."
"What are the different types of chemical bonds?","Detailed chemistry of how atoms connect."
"Describe the main conflicts in the novel \"The Catcher in the Rye\".","Key struggles in a book in literature."
"How does a jet engine work?","Simplified explanation of jet propulsion technology."
"What are the benefits of learning a musical instrument?","Positive impacts of musical education."
"Who wrote the Declaration of Independence?","Key historical document and its author."
"What is the difference between a hurricane, typhoon, and cyclone?","Detailed meteorology of tropical storms."
"Explain the concept of supply chain management.","Overview of the process of goods and services flow."
"What are the essential elements of a good story?","Fundamental components of narrative."
"What is the deepest lake in the world?","Lake with the greatest depth in geography."
"Describe the process of photosynthesis at a molecular level.","Detailed biochemistry of energy conversion in plants."
"How to write a screenplay?","Instructions on writing for film or television."
"What are the major trade routes in history?","Significant pathways of commerce across time."
"Explain the principles of classical mechanics.","Overview of the physics of motion."
"What are the different types of telescopes?","Detailed astronomy of instruments for observing space."
"Who developed the theory of psychoanalysis?","Major figure and school of thought in psychology."
"What is the function of red blood cells?","Role of a specific blood component in biology."
"How to make a traditional Italian pasta sauce?","Detailed culinary of a specific sauce preparation."
"What is the Dead Sea?","Salt lake with unique properties in geography."
"Describe the structure of a neuron.","Detailed biology of a nerve cell."
"How to improve your critical thinking skills?","Techniques for analyzing information."
"What are the major philosophical movements in Western history?","Timeline of significant schools of thought."
"Explain the concept of cultural relativism in anthropology.","Understanding cultures in their own context."
"What are the different types of angles in geometry?","Detailed mathematics of shapes and their properties."
"Describe the use of irony in the novel \"Catch-22\".","Literary device in a specific book in literature."
"How does a 3D printer work?","Simplified explanation of additive manufacturing technology."
"What are the psychological effects of trauma?","Impact of distressing events on mental health."
"Who discovered the theory of general anesthesia?","Major medical advancement in history of medicine."
"What is the difference between a metaphor and a simile?","Detailed literary terms."
"Explain the concept of cognitive behavioral therapy (CBT).","Overview of a specific type of psychotherapy."
"What are the essential tools and techniques for pottery?","Detailed craft of shaping clay."
"What is the highest navigable lake in the world?","Lake suitable for boat travel at high altitude in geography."
"Describe the process of metamorphosis in amphibians.","Detailed biology of the transformation of frogs and toads."
"How to write a blog post?","Instructions on creating online content."
"What are the major civilizations of Mesopotamia?","Timeline of ancient cultures in a specific region."
"Explain the principles of game theory in political science.","Strategic interactions between political actors."
"What are the different types of musical scales?","Detailed music theory of tonal systems."
"Describe the role of fate in the play \"Oedipus Rex\".","Literary theme in a specific drama in literature."
"What are the different types of clouds and their associated weather?","Detailed meteorology of cloud formations and their implications."
"Describe the symbolism in the novel \"The Great Gatsby\".","Literature focusing on symbolic elements in a book."
"How does a smartphone work?","Simplified explanation of mobile phone technology."
"What are the psychological effects of social media?","Impact of online platforms on mental well-being."
"Who developed the periodic table of elements?","Fundamental organizational system in history of chemistry."
"What is the difference between a prokaryotic and a eukaryotic cell?","Detailed biology of cell structure."
"Explain the concept of natural selection in detail.","Specific biological process explained thoroughly."
"What are the key ingredients and techniques for making sourdough bread?","Detailed culinary of a specific baking process."
"What is the deepest point in the ocean?","Earth's extreme underwater location in geography."
"Describe the process of cellular respiration.","Detailed biology of energy production in cells."
"How to create a budget?","Instructions on managing personal finances."
"What are the major rivers in South Asia?","Significant regional waterways in geography."
"Explain the principles of special relativity.","Overview of a specific area of physics."
"What are the different types of supernovae?","Detailed astronomy of stellar explosions."
"Who sculpted the statue of David?","Specific sculpture and its creator in art history."
"What is the function of the thyroid gland?","Role of a specific endocrine gland in biology."
"How to perform basic first aid?","Instructions on essential emergency medical procedures."
"What is the significance of World War II?","Major global conflict."
"Explain the concept of fiscal policy in economics.","Government economic tools."
"What are the different types of sedimentary rocks and how are they formed?","Detailed geology of rock classification and formation."
"Describe the use of imagery in the poetry of Sylvia Plath.","Poetic techniques of a specific author in literature."
"How does a drone work?","Simplified explanation of unmanned aerial vehicle technology."
"What are the environmental impacts of deforestation?","Effects of forest clearing on the ecosystem."
"Who discovered the theory of electromagnetism?","Key figure in the history of physics."
"What is the difference between a food web and a food chain?","Detailed ecology of trophic relationships."
"Explain the concept of sustainable development.","Overview of balancing economic growth and environmental protection."
"What are the essential tools and techniques for watercolor painting?","Detailed craft of a specific artistic medium."
"What is the coldest place on Earth?","Region with the lowest recorded temperature in geography."
"Describe the process of metamorphism in rocks.","Detailed geology of the transformation of rock types."
"How to write a business plan?","Instructions on creating a strategic document for a company."
"What are the major peninsulas of the world and their locations?","Detailed geography of significant landforms extending into water."
"Explain the principles of cosmology.","Overview of the study of the universe."
"What are the different types of asteroids and comets?","Detailed astronomy of small solar system bodies."
"Who composed the opera \"Carmen\"?","Specific opera and its composer in music history."
"What is the function of the pineal gland?","Role of a specific endocrine gland in biology."
"How to make a classic béchamel sauce?","Detailed culinary of a fundamental sauce preparation."
"What is the San Andreas Fault?","Major geological feature in geography."
"Describe the structure of a fungal cell.","Detailed biology of the components of a fungus's basic unit."
"How to improve your negotiation skills?","Techniques for reaching agreements."
"What are the major agricultural regions of the world and their products?","Detailed geography/economics of global food production."
"Explain the concept of supply-side economics.","Specific economic theory."
"What are the different types of earthquakes and their effects?","Detailed geology of seismic events and their consequences."
"Describe the symbolism in the play \"A Doll's House\".","Symbolic elements in a specific drama in literature."
"How does a wind turbine work?","Simplified explanation of wind energy technology."
"What are the legal and ethical implications of self-driving cars?","Societal impact of autonomous vehicles."
"Who proposed the theory of plate tectonics?","Fundamental geological theory in history of geology."
"What is the difference between a pandemic and an epidemic?","Detailed epidemiology of disease outbreaks."
"Explain the concept of immunotherapy in cancer treatment.","Definition and overview of a specific medical approach."
"What are the essential tools and techniques for drawing portraits?","Detailed craft of a specific artistic subject."
"What is the largest canyon system in the world?","Significant geological formation in geography."
"Describe the process of sedimentary rock formation.","Detailed geology of how these rocks are created."
"How to write a letter of recommendation?","Instructions on creating a supportive reference document."
"What are the major straits of the world and their strategic importance?","Detailed geography/politics of narrow waterways."
"Explain the principles of stellar nucleosynthesis.","Detailed astrophysics of how stars create elements."
"What are the different types of pulsars?","Detailed astronomy of rapidly rotating neutron stars."
"Who wrote the novel \"Moby Dick\"?","Specific novel and its author in literature."
"What is the function of the cerebellum?","Role of a specific part of the brain in biology."
"How to make a traditional French onion soup?","Detailed culinary of a specific soup preparation."
"What is the Grand Canyon?","Major natural wonder in geography."
"Describe the structure of a plant root.","Detailed botany of a plant's underground structure."
"How to improve your problem-solving skills?","Techniques for finding solutions."
"What are the major religions of the world and their core beliefs?","Detailed sociology/religious studies of global faiths."
"Explain the concept of market equilibrium in economics.","Fundamental principle of supply and demand interaction."
"What are the different types of glaciers and their movement?","Detailed geography/glaciology of ice formations."
"Describe the themes in the short stories of Anton Chekhov.","Central ideas in a specific author's work in literature."
"How does a virtual reality headset work?","Simplified explanation of VR technology."
"What are the economic impacts of tourism?","Effects of travel and hospitality on economies."
"Who discovered the laws of thermodynamics?","Key figure in the history of physics."
"What is the difference between weather forecasting and climate modeling?","Detailed meteorology/climatology of atmospheric prediction."
"Explain the concept of cognitive load in psychology.","Mental effort in processing information."
"What are the essential tools and techniques for playing the violin?","Detailed craft of a specific musical instrument."
"What is the highest plateau in the world?","Significant geographical landform."
"Describe the process of photosynthesis in algae.","Specific biological process in aquatic organisms."
"How to create a database using SQL?","Instructions on fundamental database management."
"What are the major empires of the ancient world?","Timeline of significant political entities in history."
"Explain the principles of Mendelian genetics.","Fundamental concepts of inheritance in biology."
"What are the different types of musical instruments in an orchestra?","Detailed music theory/history of instrumental families."
"Describe the role of the chorus in ancient Greek tragedy.","Literary element in a specific dramatic form."
"How does a search engine algorithm work?","Simplified explanation of information retrieval technology."
"What are the long-term effects of climate change?","Projected impacts of global warming on the planet."
"Who developed the theory of relativity?","Major scientific breakthrough in history of physics."
"What is the difference between a democracy and an oligarchy?","Detailed political science of forms of government."
"Explain the concept of classical conditioning in psychology.","Basic learning process."
"What are the essential tools and techniques for sculpting in clay?","Detailed craft of a specific artistic medium."
"What is the largest meteorite impact crater on Earth?","Significant geological feature."
"Describe the process of metamorphosis in insects with complete metamorphosis.","Detailed biology of insect development."
"How to write a grant proposal?","Instructions on creating a funding application."
"What are the major philosophical arguments for the existence of God?","Detailed philosophy of religion."
"Explain the principles of fluid dynamics.","Overview of the physics of liquids and gases in motion."
"What are the different types of supernovae remnants?","Detailed astrophysics of the aftermath of stellar explosions."
"Who wrote the poem \"Ozymandias\"?","Famous poem and its author in literature."
"What is the function of white blood cells?","Role of specific blood components in biology."
"How to make a traditional paella?","Detailed culinary of a specific rice dish preparation."
"What is the Strait of Gibraltar?","Strategically important waterway in geography/politics."
"Describe the structure of a bird's feather.","Detailed zoology of avian anatomy."
"How to improve your leadership skills?","Techniques for guiding and motivating others."
"What are the major art movements in Western history?","Timeline of significant styles and philosophies in art."
"Explain the concept of supply-side economics in detail.","Thorough explanation of a specific economic theory."
"What are the different types of weathering in geology?","Detailed geology of the breakdown of rocks."
"Describe the themes in the novel \"Brave New World\".","Central ideas in a specific dystopian book in literature."
"How does a transistor work?","Simplified explanation of a fundamental electronic component."
"What are the psychological effects of bullying?","Impact of aggressive behavior on mental well-being."
"Who discovered the electron?","Key figure in the history of physics."
"What is the difference between a renewable and a non-renewable resource?","Detailed environmental science concepts."
"Explain the concept of operant conditioning in detail.","Thorough explanation of a basic learning process in psychology."
"What are the essential tools and techniques for playing the piano?","Detailed craft of a specific musical instrument."
"What is the largest ice sheet on Earth?","Significant geographical feature in glaciology."
"Describe the process of pollination in flowering plants.","Detailed botany of plant reproduction."
"How to create a presentation using Prezi?","Instructions on using alternative presentation software."
"What are the major turning points of the American Revolution?","Timeline of key events in history."
"Explain the concept of sovereignty in political science.","Fundamental principle of state authority."
"What are the different types of sonnets in poetry?","Detailed literary forms."
"Describe the symbolism of light and darkness in Shakespearean tragedies.","Literary device in a specific dramatic form."
"How does a global positioning system (GPS) work?","Simplified explanation of navigation technology."
"What are the long-term effects of air pollution?","Impact of atmospheric contaminants on health and environment."
"Who formulated the theory of special relativity?","Key figure in the history of physics."
"What is the difference between communism and socialism?","Detailed political science of economic systems."
"Explain the concept of attachment styles in psychology.","Understanding patterns in interpersonal relationships."
"What are the essential tools and techniques for figure drawing?","Detailed craft of a specific artistic subject."
"What is the deepest trench in the ocean?","Earth's most profound underwater feature in geography."
"Describe the process of protein folding.","Detailed biochemistry of how proteins attain their functional shape."
"How to write a scientific abstract?","Instructions on summarizing research findings."
"What are the major causes of the French Revolution?","Timeline of key factors in a significant historical event."
"Explain the concept of balance of power in international relations.","Strategy for maintaining stability between states."
"What are the different types of essays in writing?","Detailed literary forms of non-fiction."
"Describe the role of foreshadowing in Gothic literature.","Literary device in a specific genre."
"How does a virtual private network (VPN) work?","Simplified explanation of online security technology."
"What are the social and cultural impacts of the internet?","Broader societal effects of online connectivity."
"Who discovered the neutron?","Key figure in the history of physics."
"What is the difference between a food desert and a food swamp?","Detailed urban planning/nutrition concepts."
"Explain the concept of learned helplessness in psychology.","Psychological state resulting from uncontrollable negative events."
"What are the essential tools and techniques for playing the cello?","Detailed craft of a specific musical instrument."
"What is the largest coral reef system in the world?","Significant marine ecosystem in geography/biology."
"Describe the process of seed germination.","Detailed botany of how plants begin to grow."
"How to create a spreadsheet using Excel?","Instructions on using spreadsheet software."
"What are the major events of the Enlightenment?","Timeline of a significant intellectual and cultural movement."
"Explain the principles of supply-side economics in detail.","Thorough explanation of a specific economic theory."
"What are the different types of chemical reactions?","Detailed chemistry of how substances interact."
"Describe the symbolism of water in the poetry of T.S. Eliot.","Literary device in a specific author's work."
"How does an electric car work?","Simplified explanation of electric vehicle technology."
"What are the ethical considerations of using artificial intelligence in healthcare?","Moral aspects of AI in medicine."
"Who developed the theory of cognitive dissonance?","Key figure in social psychology."
"What is the difference between a stalactite and a stalagmite?","Detailed geology of cave formations."
"Explain the concept of self-efficacy in psychology.","Belief in one's ability to succeed in specific situations."
"What are the essential tools and techniques for playing the drums?","Detailed craft of a specific musical instrument."
"What is the highest mountain range in the world?","Significant geographical feature."
"Describe the process of anaerobic respiration.","Detailed biochemistry of energy production without oxygen."
"How to write a persuasive speech?","Instructions on crafting a convincing oral argument."
"What are the major causes of the Great Depression?","Timeline of key factors in a significant economic crisis."
"Explain the concept of the prisoner's dilemma in game theory.","Fundamental concept of strategic interaction."
"What are the different types of narrative perspective in literature?","Detailed literary techniques in storytelling."
"Describe the role of setting in the novels of Thomas Hardy.","Literary element in a specific author's work."
"How does a microwave oven work?","Simplified explanation of microwave technology."
"What are the social and economic impacts of automation?","Broader societal effects of technological replacement of human labor."
"Who discovered radioactivity?","Key figure in the history of physics/chemistry."
"What is the difference between weather and climate change?","Detailed meteorology/climatology of atmospheric phenomena."
"Explain the concept of confirmation bias in psychology.","Tendency to favor information confirming existing beliefs."
"What are the essential tools and techniques for playing the saxophone?","Detailed craft of a specific musical instrument."
"What is the largest canyon on land?","Significant geological feature."
"Describe the process of transcription in molecular biology.","Detailed biochemistry of RNA synthesis."
"How to create a podcast?","Instructions on producing audio content."
"What are the major events of the Cold War?","Timeline of a significant period of geopolitical tension."
"Explain the concept of globalization in sociology.","Overview of increasing interconnectedness worldwide."
"What are the different types of irony in literature?","Detailed literary devices."
"Describe the use of symbolism in the poetry of Langston Hughes.","Literary device in a specific author's work."
"How does a lidar sensor work?","Simplified explanation of remote sensing technology."
"What are the ethical considerations of using AI in criminal justice?","Moral aspects of AI in law enforcement."
"Who proposed the theory of continental drift?","Key figure in the history of geology."
"What is the difference between a democracy and an autocracy?","Detailed political science of forms of government."
"Explain the concept of fundamental attribution error in psychology.","Bias in explaining others' behavior."
"What are the essential tools and techniques for playing the flute?","Detailed craft of a specific musical instrument."
"What is the deepest lake in North America?","Significant geographical feature."
"Describe the process of translation in molecular biology.","Detailed biochemistry of protein synthesis."
"How to write a screenplay for television?","Instructions on writing for a specific media format."
"What are the major causes of World War II?","Timeline of key factors in a significant historical event."
"Explain the concept of cultural hegemony in sociology.","Dominance of one culture's beliefs and values."
"What are the different types of satire in literature?","Detailed literary genres."
"Describe the role of nature in the poetry of William Wordsworth.","Literary theme in a specific author's work."
"How does a radar system work?","Simplified explanation of detection and tracking technology."
"What are the social and economic impacts of the COVID-19 pandemic?","Broader societal effects of a global health crisis."
"Who discovered the laws of inheritance?","Key figure in the history of biology."
"What is the difference between a renewable and a sustainable resource?","Detailed environmental science concepts."
"Explain the concept of stereotype threat in psychology.","Risk of confirming negative stereotypes about one's group."
"What are the essential tools and techniques for playing the clarinet?","Detailed craft of a specific musical instrument."
"What is the largest bay in the world?","Significant geographical feature."
"Describe the process of apoptosis.","Detailed biology of programmed cell death."
"How to create a budget for a small business?","Instructions on financial planning for enterprises."
"What are the major events of the Scientific Revolution?","Timeline of a significant period of scientific advancement."
"Explain the concept of laissez-faire economics.","Specific economic philosophy."
"What are the different types of irony in drama?","Detailed literary devices in a specific genre."
"Describe the symbolism of the color green in literature.","Literary motif across different works."
"How does a lidar system work in autonomous vehicles?","Specific application of remote sensing technology."
"What are the ethical considerations of using facial recognition technology?","Moral aspects of AI in surveillance and identification."
"Who proposed the theory of punctuated equilibrium?","Key figure in evolutionary biology."
"What is the difference between a monarchy and a dictatorship?","Detailed political science of forms of government."
"Explain the concept of bystander effect in social psychology.","Social phenomenon of inaction in emergencies."
"What are the essential tools and techniques for playing the trombone?","Detailed craft of a specific musical instrument."
"What is the largest peninsula in the world?","Significant geographical feature."
"Describe the process of meiosis in detail.","Thorough explanation of a specific biological process."
"How to write a policy brief?","Instructions on creating a concise summary of policy recommendations."
"What is the definition of a hyperbola in conic sections?","Specific mathematical shape."
"Who designed the Sydney Opera House?","Architecture history question."
"What is the chemical formula for sulfuric acid?","Specific chemistry fact."
"What are the major tectonic plates of the Earth?","Specific geology question."
"Explain the concept of cognitive load in educational psychology.","Specific psychological concept in learning."
"Who wrote the poem \"The Rime of the Ancient Mariner\"?","Specific poem and author."
"What is the function of mitochondria in a cell?","Specific cell biology question."
"How does a catalytic converter reduce pollution?","Specific environmental science/engineering question."
"What were the main causes of the English Civil War?","Specific historical event."
"Explain the principles of operant conditioning with examples.","Specific psychological learning theory."
"Who painted \"The Birth of Venus\"?","Specific artwork and artist."
"What is the definition of a limerick in poetry?","Specific poetic form."
"What are the different types of igneous rocks and how are they formed?","Specific geology question."
"What is the role of enzymes in biological reactions?","Specific biochemistry question."
"How does a nuclear reactor generate electricity?","Specific physics/engineering question."
"What were the key events of the Russian Revolution?","Specific historical event."
"Explain the concept of self-efficacy in social psychology.","Specific psychological concept."
"Who wrote the novel \"The Lord of the Rings\"?","Specific novel and author."
"What is the chemical formula for ammonia?","Specific chemistry fact."
"What are the different types of volcanoes and their eruption styles?","Specific geology question."
"What is the function of ribosomes in a cell?","Specific cell biology question."
"How does a transistor work as a switch?","Specific electronics question."
"What were the main causes of World War I?","Specific historical event."
"Explain the concept of attribution theory in social psychology.","Specific psychological concept."
"What is the definition of a sonnet, including its different forms?","Specific poetic form with details."
"What are the different types of metamorphic rocks and their formation processes?","Specific geology question."
"What is the role of hormones in the human body?","Specific physiology question."
"How does a jet engine generate thrust?","Specific physics/engineering question."
"What were the key battles of the American Civil War?","Specific historical event."
"Explain the concept of cognitive dissonance with real-world examples.","Specific psychological concept with examples."
"Who wrote the play \"Waiting for Godot\"?","Specific play and author."
"What is the chemical formula for methane?","Specific chemistry fact."
"What are the different types of faults in geology and their effects?","Specific geology question."
